Year,HeadQuarter,Sector,Founders,Investor,Stage,Company_Brand,What_it_does,Amount
2020-01-01,Bengaluru,Social Media,"Aprameya Radhakrishna, Mayank Bidawatka","Balaji Srinivasan, Naval Ravikant",Series B,Koo,Koo App operates as a microblogging app.,30000000.0
2017-01-01,Noida,AI startup,"Manish Gupta, Rashi Gupta","Devesh Sachdev, Bhavesh Manglani",Seed,Rezo.ai,Conversational AI platform - Innovate the way you communicate,3000000.0
2015-01-01,Mumbai,EdTech,"Ashish Arora, Nikhar Arora, Sameer Bhakhri","Pradeep K Jaisingh, Jayant Mehrotra",Series A+,Mentoria,Mentoria is a holistic career discovery platform that enables students to discover themselves and the careers they will enjoy and excel at.,200000.0
2020-01-01,Bengaluru,Human Resources,"Atul Singhal, Sudhanshu Singh","Varun Alagh, Harish Daiya",Seed,Cuvette Tech,Help startups to find interns who are verified on their software development skills and problem-solving abilities.,1800000.0
2016-01-01,New Delhi,BioTechnology,Puneet Gupta,"IAN Fund, World Startup Factory",Series B+,Clensta,A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,600000.0
2015-01-01,Gurugram,AgriTech,"Alekh Sanghera, Mehtab Singh Hans","Omidyar Network India, Avaana Capital",Early Seed,FarMart,FarMart is a micro-SaaS platform that helps food businesses source high quality produce at affordable prices,24000000.0
2019-01-01,Mumbai,Finance,"Deepti Sanghi, Gaurav Thapa","Brex, Y-Combinator",Seed,Kodo Card,Kodo card is a corporate card for new economy businesses in India.,8000000.0
2017-01-01,Mumbai,Finance,Saurabh Saxena,"Mark Cuban, MiH Ventures",Series B,Polygon,Polygon is a blockchain scalability platform.,3000000.0
2015-01-01,New Delhi,Mobility,"Chirag Jain, Rasik Pansare","IvyCap Ventures, IAN Fund",Series E,Get My Parking,"Get My Parking, is a B2B Platform-as-a-Service company.",6000000.0
2019-01-01,Hyderabad,Electronics,Siddhartha Durairajan,"Gurj Aujla, Ashik K",Fresh Funding,Cellestial,Cellestial E-mobility is a city-based startup working in developing electric tractors with the longest battery life.,500000.0
2019-01-01,Mumbai,Sports startup,Yannick Colaco,Dream Sports,Series E,FanCode,"FanCode is a multi sport aggregator platform for every sports fan, focusing on long trail sports content and contextual commerce.",50000000.0
2017-01-01,Mumbai,Finance,"Adriel Maniego, Arjun Ahluwalia","The Chatterjee Group, Prophetic Ventures",Series A,Jai Kisan,Jai Kisan is a fintech platform that provides sustainable financing for rural emerging markets,30000000.0
